formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
Sn2WO5,1094.75,2.895,26.75,0.90375,62.6575,1433.775,3.535,0.99125,4361.3625,4.24,7.2267625,620.9,80.75,0.028125,18.9249,2.85125,7,12.25,3,0,76.125,2.935,3.25,1.105625,3.5,6.125,5.25,14.25,337.25,6.32,179.08125,0.90625,1.125,1.7225,5.5,4.5,3.80625,0.64875,38.41875,3,1.75,3,2,8758,23.16,214,7.23,501.26,11470.2,28.28,7.93,34890.9,33.92,57.8141,4967.2,646,0.225,151.3992,22.81,56,98,24,0,609,23.48,26,8.845,28,49,42,114,2698,50.56,1432.65,7.25,9,13.78,44,36,30.45,5.19,307.35,24,14,24,16,605,2.14,66,1.45,167.84,5843,6.28,0.73,22345.42,19.3,3.78,3628.4,36,0.105,12.23,2.31,10,14,4,0,91,1.48,4,2.265,2,3,2,10,600,35.18,820.59,0.85,1,5.78,2,4,10.31,0.79,173.97,10,14,4,0,2.597
Li2ZnGe,677,1.35,17,1.5025,37.97,1878.15,2.115,1.3025,4556.5,3.3825,3.7075,705.15,37.5,0.085,24.68,1.2875,7.5,14,5.5,0.5,133.175,1.405,3,1.665,1,3,1.75,7,207.5,12.565,184.51,1.375,0.75,2.61,4.5,2,15.275,1.9775,86.325,2.5,0,0.5,1.5,2708,5.4,68,6.01,151.88,7512.6,8.46,5.21,18226,13.53,14.83,2820.6,150,0.34,98.72,5.15,30,56,22,2,532.7,5.62,12,6.66,4,12,7,28,830,50.26,738.04,5.5,3,10.44,18,8,61.1,7.91,345.3,10,0,2,6,386,1.08,29,0.42,65.67,1924,2.5,0.12,5177,6.59,1.42,766.9,78,0.04,2.26,0.87,10,0,2,1,52.1,1.03,2,0.32,2,5,3,13,246,33.94,215.6,0.2,2,3.44,11,3,18.2,3.28,56.1,10,0,2,1,1.1
Cu3AsS4,897.75,2.265,23,1.12625,49.23125,1535.25,3.10375,1.17625,2952.375,5.11125,4.94375,837.8,78.5,0.0925,23.53125,2.075,6.25,14,3.625,0.375,97.675,2.275,3.5,1.4925,2.375,5.75,4.375,14,304,9.21625,121.8575,1.15,1.375,3.415,7.75,4,4.5,0.53875,156.76,3.75,0,2.375,1.625,7182,18.12,184,9.01,393.85,12282,24.83,9.41,23619,40.89,39.55,6702.4,628,0.74,188.25,16.6,50,112,29,3,781.4,18.2,28,11.94,19,46,35,112,2432,73.73,974.86,9.2,11,27.32,62,32,36,4.31,1254.08,30,0,19,13,255,0.74,17,0.57,42.85,2122.3,0.64,0.36,4107,6.89,2.19,970.2,24,0.08,1.95,0.98,10,0,4,1,38.1,0.68,1,0.94,4,3,4,5,59,25.98,290.5,0.35,1,3.44,6,5,3.8,0.38,400.73,10,0,4,1,1.36
Sm3Al0.33SiS7,848.4324801,2.105145631,27.91615181,1.306213592,62.89173875,1302.630141,2.834836717,1.191473963,2956.619594,3.554368932,5.382886143,770.8905119,69.46954987,0.060282436,24.49765225,2.026610768,10,12.41129744,3.323036187,0,112.3827008,2.118384819,3.79435128,1.950079435,4.265666372,5.79435128,4.941747573,12.29390997,276.5736981,8.123627538,92.57210944,1.241173875,1.52956752,2.417475728,4.941747573,4.676963813,10.13583407,0.580494263,23.65401589,0,1.58870256,2.676963813,2,9612.74,23.8513,316.29,14.7994,712.5634,14758.7995,32.1187,13.4994,33498.5,40.271,60.9881,8734.1895,787.09,0.683,277.5584,22.9615,113.3,140.62,37.65,0,1273.296,24.0013,42.99,22.0944,48.33,65.65,55.99,139.29,3133.58,92.0407,1048.842,14.0625,17.33,27.39,55.99,52.99,114.839,6.577,268,0,18,30.33,22.66,455,1.5,49,1.5,123.38,2022.3,2.49,0.6,7236,5.45,2.33,1297.2,65,0.05,10.132,1.44,0,6,4,0,104.4,1.41,3,3.04,5,4,3,13,245,48.83,374.42,0.85,2,2,3,4,25.9,0.7,236.73,0,6,4,0,2.26
Bi12GeO20,1075.090909,2.979090909,36,0.848787879,87.89013455,815.2712121,2.497272727,1.01030303,2028.230303,3.706666667,6.969260606,268.0409091,86.39393939,0.01910303,18.74459796,2.914242424,6.363636364,8.909090909,2.424242424,0,77.66666667,2.88030303,3.515151515,1.05830303,3.575757576,6.242424242,5.575757576,15.57575758,237.6060606,5.361818182,50.2030303,0.983333333,1,1.212121212,5.575757576,5.575757576,3.354545455,0.610909091,4.695151515,3.636363636,5.090909091,3.575757576,2,35478,98.31,1188,28.01,2900.37444,26903.95,82.41,33.34,66931.6,122.32,229.9856,8845.35,2851,0.6304,618.5717328,96.17,210,294,80,0,2563,95.05,116,34.924,118,206,184,514,7841,176.94,1656.7,32.45,33,40,184,184,110.7,20.16,154.94,120,168,118,66,611,1.62,75,0.95,192.98037,3013,1.67,0.73,8245.42,9.75,3.73,1165.8,8,0.07,10.3576444,1.81,10,14,2,0,84.5,1.43,4,1.527,2,2,2,2,170,36.72,327.49,1,0,4,2,2,6.61,0.8,59.87,10,14,2,0,3.25
CuGa2S3.5,831.2307692,2.220769231,22.61538462,1.115384615,48.49769231,1646.911538,2.936153846,1.149230769,3886.153846,4.308461538,4.996153846,509.6730769,80,0.078461538,23.91461538,2.053076923,8.461538462,14,3.538461538,0.153846154,100.5230769,2.238461538,3.461538462,1.429230769,2.461538462,5.923076923,4.461538462,14.30769231,290.2307692,4.653846154,131.0769231,1.146153846,1.153846154,2.972307692,5.846153846,4.307692308,5.084615385,0.554615385,74.33,1.538461538,0,2.461538462,1.846153846,5403,14.435,147,7.25,315.235,10704.925,19.085,7.47,25260,28.005,32.475,3312.875,520,0.51,155.445,13.345,55,91,23,1,653.4,14.55,22.5,9.29,16,38.5,29,93,1886.5,30.25,852,7.45,7.5,19.32,38,28,33.05,3.605,483.145,10,0,16,12,421,0.83,15,0.57,37.65,2122.3,0.68,0.36,6306,6.89,2.19,1053.2,24,0.08,3.03,0.98,10,0,4,1,44.4,0.77,1,0.94,4,3,4,5,59,11.33,290.5,0.35,1,3.44,8,5,5.2,0.34,400.73,10,0,4,1,2.42
CdBiO2Cl,1090,2.724,32.8,0.958,77.768074,658.03,1.996,1.078,1661.224,3.68,6.46576,283.97,84.8,0.02534,19.47752888,2.668,6,11.2,2.8,0,82.08,2.75,3.6,1.2334,3.2,6.2,5,15.2,187.6,4.232,44.278,1.07,0.8,1.488,7.2,5.2,3.676,0.534,20.948,4,2.8,3.2,2,5450,13.62,164,4.79,388.84037,3290.15,9.98,5.39,8306.12,18.4,32.3288,1419.85,424,0.1267,97.3876444,13.34,30,56,14,0,410.4,13.75,18,6.167,16,31,25,76,938,21.16,221.39,5.35,4,7.44,36,26,18.38,2.67,104.74,20,14,16,10,611,2.09,75,1.13,192.98037,1743,1.46,0.75,4465.42,9.75,4.45,539.3,24,0.08,11.13,2.17,10,14,5,0,84.5,1.75,4,1.75,5,4,6,5,137,11.08,101.39,1,1,4.44,7,5,6.61,0.8,96.79,10,14,5,0,3.08
LiIO3,1094,2.82,16,0.852,36.368,468.55,2.12,0.972,901.148,1.094,6.852,200.91,71.6,0.024,19.262,2.814,8,14,2.6,0.2,79.6,2.792,2.6,0.922,3.6,6,5.2,13.2,203,2.296,35.38,0.93,0.8,0.2,5.2,5.2,6.334,1.314,17.048,2,0,3.4,1.8,5470,14.1,80,4.26,181.84,2342.75,10.6,4.86,4505.74,5.47,34.26,1004.55,358,0.12,96.31,14.07,40,70,13,1,398,13.96,13,4.61,18,30,26,66,1015,11.48,176.9,4.65,4,1,26,26,31.67,6.57,85.24,10,0,17,9,794,2.7,50,1.19,119.96,1525,1.51,0.61,3068.42,4.93,5.15,398.9,95,0.08,12.44,2.68,10,0,5,1,113.6,2.46,3,1.14,4,7,6,16,142,7.6,142.51,0.85,1,1,6,6,23.51,3.39,84.67,10,0,5,1,4.185
SmSb,689.5,1.535,56.5,1.855,136.06,2145.15,2.445,1.5,5255,7.105,4.94775,1125.65,54,0.05,27.821,1.465,5,11,4.5,0,152.35,1.61,5.5,2.955,4.5,4.5,4,9,234.5,14.25,121.77,1.65,2,2.9,4,2,17.7,0.205,18.8,5,3,1.5,2,1379,3.07,113,3.71,272.12,4290.3,4.89,3,10510,14.21,9.8955,2251.3,108,0.1,55.642,2.93,10,22,9,0,304.7,3.22,11,5.91,9,9,8,18,469,28.5,243.54,3.3,4,5.8,8,4,35.4,0.41,37.6,10,6,3,4,289,0.89,11,1.05,28.6,156,0.61,0.24,370,0.83,0.1045,443,62,0,4.502,0.83,10,6,3,0,66.1,0.88,1,2.37,3,3,2,12,55,11.24,89.26,0.4,2,0.2,2,0,22.2,0.01,11,10,6,3,0,0.59
Bi2Se3,845.8,2.262,53.6,1.19,130.968148,1308.15,2.348,1.28,2902.2,6.774,5.38752,511.75,87.8,0.05468,25.19305776,2.118,6,8.4,2.4,0,106.88,2.338,4.8,1.5728,3.6,6.2,5.6,15.6,219,8.534,64.54,1.33,1,2.4,5.6,5.6,5.24,0.24,3.46,4,5.6,3.6,2,4229,11.31,268,5.95,654.84074,6540.75,11.74,6.4,14511,33.87,26.9376,2558.75,439,0.2734,125.9652888,10.59,30,42,12,0,534.4,11.69,24,7.864,18,31,28,78,1095,42.67,322.7,6.65,5,12,28,28,26.2,1.2,17.3,20,28,18,10,238,0.42,49,0.4,130.02037,875,0.28,0.3,2863,4.96,0.9312,54,3,0.0133,0.1923556,0.48,10,14,1,0,37.7,0.53,2,0.707,1,2,1,1,20,4.61,67.1,0.45,0,1,1,1,3.6,0.2,7.35,10,14,1,0,0.375
Mn15Si26,761.3902439,1.857804878,18.02439024,1.292926829,37.91317073,2484.369512,4.004390244,1.212439024,4854.609756,4.195853659,3.87902439,1622.418293,68.48780488,0.10195122,22.29243902,1.683414634,8.170731707,14,4.731707317,0,114.4829268,1.77195122,3.365853659,1.712682927,3.097560976,5.268292683,4.365853659,11.43902439,389.4390244,36.46463415,326.3346341,1.209756098,1.365853659,4.651219512,5.097560976,3.268292683,6.863414634,0.625853659,96.71463415,1.829268293,0,1.268292683,2,31217,76.17,739,53.01,1554.44,101859.15,164.18,49.71,199039,172.03,159.04,66519.15,2808,4.18,913.99,69.02,335,574,194,0,4693.8,72.65,138,70.22,127,216,179,469,15967,1495.05,13379.72,49.6,56,190.7,209,134,281.4,25.66,3965.3,75,0,52,82,70,0.17,11,0.5,26.85,393,1.71,0.28,832,5.1,0.85,166,26,0.06,6.43,0.51,5,0,2,0,21,0.35,1,0.8,3,2,1,7,171,38.5,158.22,0.3,1,1.78,3,2,4,0.23,140.18,5,0,2,0,0.701
Zn0.99Cd0.01Se,923.31,2.00965,32.09,1.22595,72.4101,1067.945,1.90405,1.23585,2566.4,5.9676,4.75585,590.9565,79.005,0.08485,25.38675,1.88495,5,14,4,0,99.2095,2.1002,4.005,1.5867,2,5.5,3.5,14,178.905,6.99935,76.42135,1.251,1.49,3.22,9,4,5.104,0.3542,58.164,5,0,2,2,1846.62,4.0193,64.18,2.4519,144.8202,2135.89,3.8081,2.4717,5132.8,11.9352,9.5117,1181.913,158.01,0.1697,50.7735,3.7699,10,28,8,0,198.419,4.2004,8.01,3.1734,4,11,7,28,357.81,13.9987,152.8427,2.502,2.98,6.44,18,8,10.208,0.7084,116.328,10,0,4,4,73,0.91,18,0.58,47.02,221,1.3,0.32,1623,3.86,2.01,202.6,20,0.05,0.58,0.86,10,0,4,0,26.6,0.9,1,0.93,4,3,5,4,115,1.13,77.6,0.4,2,2.44,6,4,3.4,0.16,115.48,10,0,4,0,3.65
CuBiP2Se6,911.8,2.294,34.6,1.102,80.823037,1152.85,2.729,1.192,2257.1,5.109,5.29688,547.57,85,0.06667,24.85476444,2.164,8,12.6,2.7,0.1,98.32,2.36,4,1.4257,3.3,6.5,5.3,15.2,253.7,6.581,65.556,1.185,1.1,2.644,6.2,5.2,4.41,0.396,41.247,2,1.4,3.3,1.9,9118,22.94,346,11.02,808.23037,11528.5,27.29,11.92,22571,51.09,52.9688,5475.7,850,0.6667,248.5476444,21.64,80,126,27,1,983.2,23.6,40,14.257,33,65,53,152,2537,65.81,655.56,11.85,11,26.44,62,52,44.1,3.96,412.47,20,14,33,19,309,0.58,68,0.47,178.01037,2287,1.31,0.4,4427,7.93,2.1,1038.9,25,0.0933,1.42,0.8,10,14,4,1,37.7,0.65,3,0.8,4,3,4,5,131,12.39,288.17,0.6,1,3.44,6,5,3.8,0.65,400.76,10,14,4,1,1.2
Ga0.8In0.2As,760.9,1.975,33.8,1.27,76.83,1750.85,2.856,1.243,4771,5.956,4.676,709.23,79.1,0.078,25.321,1.831,9,14,4,0,114.03,1.992,4.1,1.595,2,5.5,4,14,289.7,16.412,144.01,1.25,1,3.22,4,3.9,6.36,0.336,49.4,1,0,2,2,1521.8,3.95,67.6,2.54,153.66,3501.7,5.712,2.486,9542,11.912,9.352,1418.46,158.2,0.156,50.642,3.662,18,28,8,0,228.06,3.984,8.2,3.19,4,11,8,28,579.4,32.824,288.02,2.5,2,6.44,8,7.8,12.72,0.672,98.8,2,0,4,4,389,0.55,18,0.42,45.1,1786,0.44,0.25,5520,1.58,1,787.2,10,0.02,1.69,0.59,10,0,2,0,38.1,0.4,1,0.63,2,1,2,2,59,24.44,223.94,0.4,0,0.44,2,3,5.4,0.14,41,10,0,2,0,1.07
CuSbSe2,865.25,2.1725,37,1.21,85.8075,1744.9,2.79,1.27,3501.25,6.3075,5.045,810.15,81.75,0.0775,25.065,2.0025,5,14,3.25,0.25,105.5,2.2625,4.25,1.5975,2.75,6,4.75,14.5,263.5,11.575,113.21,1.275,1.25,3.11,7,3.75,5.225,0.3075,106.585,5,0,2.75,1.75,3461,8.69,148,4.84,343.23,6979.6,11.16,5.08,14005,25.23,20.18,3240.6,327,0.31,100.26,8.01,20,56,13,1,422,9.05,17,6.39,11,24,19,58,1054,46.3,452.84,5.1,5,12.44,28,15,20.9,1.23,426.34,20,0,11,7,196,0.58,22,0.42,58.21,1882,1.03,0.22,3664,4.17,2.1,866,25,0.09,1.42,0.8,10,0,4,1,27.5,0.65,1,0.75,4,3,4,5,111,13.18,262.6,0.3,1,3.44,6,5,2.9,0.17,400.48,10,0,4,1,1.05
PbSeO4,1152.166667,3.120666667,24.66666667,0.748333333,58.36,555.3166667,2.495,0.925,1295.886667,2.698333333,7.330066667,218.3,86.33333333,0.019166667,18.51433333,3.091666667,8.333333333,11.66666667,2.333333333,0,65.55,3.03,3,0.876666667,3.666666667,6.666666667,5.666666667,15.66666667,236.5,2.0615,38.17333333,0.891666667,1,0.74,5.666666667,5.666666667,2.293333333,0.688333333,5.99,1.666666667,2.333333333,3.666666667,2,6913,18.724,148,4.49,350.16,3331.9,14.97,5.55,7775.32,16.19,43.9804,1309.8,518,0.115,111.086,18.55,50,70,14,0,393.3,18.18,18,5.26,22,40,34,94,1419,12.369,229.04,5.35,6,4.44,34,34,13.76,4.13,35.94,10,14,22,12,598,1.756,74,1.06,191.2,1923,0.59,0.74,5245.42,11.4,3.6296,545.9,8,0.06,12.216,1.86,10,14,2,0,76.5,1.57,4,1.62,2,2,2,2,53,6.47,174.29,1.2,0,2.44,2,2,6.01,0.79,35.27,10,14,2,0,4.3
IrAs2,924,2.033333333,47.66666667,1.36,114.02,2061.15,4.286666667,1.25,4000,11.28666667,5.924833333,1621.15,76,0.092333333,24.80953333,1.883333333,7.666666667,9.333333333,4,0,107.6333333,2.186666667,4.666666667,1.822666667,4.333333333,5.333333333,4.666666667,13,423,27.16666667,224.5066667,1.216666667,1.333333333,3.926666667,6.333333333,4,5.4,0.263333333,82.33333333,2.333333333,4.666666667,2,2,2772,6.1,143,4.08,342.06,6183.45,12.86,3.75,12000,33.86,17.7745,4863.45,228,0.277,74.4286,5.65,23,28,12,0,322.9,6.56,14,5.468,13,16,14,39,1269,81.5,673.52,3.65,4,11.78,19,12,16.2,0.79,247,7,14,6,6,69,0.53,44,0.66,117.3,3513,3.98,0.18,5700,16.67,2.2645,1593,24,0.037,0.2686,0.68,7,14,3,0,22.6,0.02,2,1.208,4,2,1,6,363,1.6,569.24,0.2,1,2.78,4,3,3.3,0.2,97,7,14,3,0,1
Ba3Tb2P4S16,907.8,2.2104,24.56,1.2036,54.6736272,1057.758,2.9248,1.1872,2070,2.6944,5.49304,548.598,73,0.055744,24.0385249,2.1528,10,13.28,2.96,0,105.464,2.2044,3.6,1.6216,4,6.08,5.12,13.12,281.68,3.0004,51.7248,1.198,1.04,2.24,5.12,5.04,9.236,0.616,3.3072,0,0.72,3.04,2,22695,55.26,614,30.09,1366.84068,26443.95,73.12,29.68,51750,67.36,137.326,13714.95,1825,1.3936,600.9631224,53.82,250,332,74,0,2636.6,55.11,90,40.54,100,152,128,328,7042,75.01,1293.12,29.95,26,56,128,126,230.9,15.4,82.68,0,18,76,50,509,1.71,50,1.65,127.95534,2950,2.15,0.96,7476,6.41,1.38,1320.9,79,0.03,5.8365612,1.51,0,9,4,0,125,1.69,3,2.79,7,5,4,14,209,10.14,321.1,1.15,3,1,4,4,36.8,0.59,18.16,0,9,4,0,3.37
TeI4,980.2,2.32,52.8,1.166,127.04,618.31,1.326,1.334,1121,5.192,5.832,453.85,94.8,0.042,26.832,2.232,0,14,1.2,0,105.74,2.548,5,1.606,4.8,7.6,6.8,16.8,125,9.754,27.11,1.4,1,0.4,6.8,6,5.1,0.208,0.83,10,0,4.8,2,4901,11.6,264,5.83,635.2,3091.55,6.63,6.67,5605,25.96,29.16,2269.25,474,0.21,134.16,11.16,0,70,6,0,528.7,12.74,25,8.03,24,38,34,84,625,48.77,135.55,7,5,2,34,30,25.5,1.04,4.15,50,0,24,10,139,0.2,1,0.08,0.7,805.8,1.08,0.02,1510,1.31,0.49,336,6,0.01,1.64,0.19,0,0,1,0,6.7,0.56,0,0.08,1,2,1,1,90,9.67,31.8,0,0,2,1,5,0.5,0.01,1.9,0,0,1,0,1.1
Hg3S2Bi2Cl8,1095.666667,2.496,38.26666667,1.071333333,91.164716,593.39,1.551333333,1.156666667,1360.578667,4.276,6.72122,262.6766667,87.53333333,0.027686667,21.03342125,2.388,6.666666667,9.333333333,2.4,0,89.25333333,2.698666667,4,1.4336,3.6,6.666666667,5.4,15.6,141.5333333,3.917666667,32.5658,1.18,1.2,1.554666667,7.6,5.6,3.626666667,0.394466667,2.758666667,3.333333333,4.666666667,3.6,2,16435,37.44,574,16.07,1367.47074,8900.85,23.27,17.35,20408.68,64.14,100.8183,3940.15,1313,0.4153,315.5013188,35.82,100,140,36,0,1338.8,40.48,60,21.504,54,100,81,234,2123,58.765,488.487,17.7,18,23.32,114,84,54.4,5.917,41.38,50,70,54,30,548,1.11,67,0.92,176.91037,1594.6,2.18,0.5,4203.04,13.5,3.4181,372,23,0.0673,10.86201,1.28,10,14,5,0,57,1.16,3,1.4,5,4,6,5,218,9.58,95,0.6,1,4.44,7,5,5.2,0.59,8.33,10,14,5,0,3.26
Ba2GaBiTe5,737,1.814444444,54,1.555555556,132.3733744,1627.816667,2.193333333,1.492222222,3380.555556,5.983333333,5.015422222,717.4055556,69.77777778,0.048522222,26.05529382,1.75,3.333333333,12.44444444,3.333333333,0,135.8222222,1.79,5.222222222,2.094111111,3.111111111,4.888888889,4.666666667,12.44444444,204.2222222,13.31555556,101.1388889,1.577777778,0.777777778,2.271111111,4.666666667,2.444444444,13.6,0.21,10.78,6.666666667,1.555555556,2.666666667,2,6633,16.33,486,14,1191.36037,14650.35,19.74,13.43,30425,53.85,45.1388,6456.65,628,0.4367,234.4976444,15.75,30,112,30,0,1222.4,16.11,47,18.847,28,44,42,112,1838,119.84,910.25,14.2,7,20.44,42,22,122.4,1.89,97.02,60,14,24,18,366,1.28,52,1.3,139.26037,1413.2,0.91,0.72,5291,6.25,1.27,695.2,81,0.05,2.9323556,1.1,10,14,4,0,94.9,1.21,2,1.73,3,4,4,14,106,11.9,206.15,0.85,1,1.44,4,3,34.2,0.25,38.25,10,14,4,0,1.43
TlCr5S5Se3,834.0714286,2.162785714,27.35714286,1.239285714,61.54380714,1637.114286,3.143571429,1.172142857,2690.714286,5.183571429,4.824414286,1044.792857,73.42857143,0.088442857,23.80213064,1.958571429,7.5,13,3.642857143,0.357142857,109.9142857,2.176428571,3.785714286,1.700357143,4.142857143,5.785714286,5.071428571,12.21428571,303.0714286,8.379428571,146.2642857,1.239285714,1.357142857,3.452857143,5.785714286,4,6.535714286,0.492142857,36.965,2.5,1,2.357142857,1.642857143,11677,30.279,383,17.35,861.6133,22919.6,44.01,16.41,37670,72.57,67.5418,14627.1,1028,1.2382,333.229829,27.42,105,182,51,5,1538.8,30.47,53,23.805,58,81,71,171,4243,117.312,2047.7,17.35,19,48.34,81,56,91.5,6.89,517.51,35,14,33,23,411,0.94,65,0.78,172.3133,2227.3,2.22,0.46,3386,9.83,2.58,1744.2,40,0.0818,3.799829,1.2,10,14,4,1,64.3,0.96,3,1.34,4,3,3,10,215,15.18,334.5,0.9,1,3.78,3,5,8.7,0.58,93.43,10,14,4,1,0.89
K8Zr6Se30,805.0454545,1.969545455,32.09090909,1.425,73.38454545,1475.240909,2.698636364,1.349090909,2781.681818,4.31,4.905,685.15,67.22727273,0.054090909,25.91909091,1.887272727,9.727272727,14,3.272727273,0.181818182,123.6227273,2.069090909,4.136363636,1.936363636,3.181818182,5.5,4.545454545,11.63636364,254.1818182,7.289545455,119.59,1.395454545,0.954545455,2.090909091,4.818181818,4.545454545,12.92272727,0.391363636,22.06818182,0.272727273,0,2.727272727,1.818181818,35422,86.66,1412,62.7,3228.92,64910.6,118.74,59.36,122394,189.64,215.82,30146.6,2958,2.38,1140.44,83.04,428,616,144,8,5439.4,91.04,182,85.2,140,242,200,512,11184,320.74,5261.96,61.4,42,92,212,200,568.6,17.22,971,12,0,120,80,522,1.7,21,1.4,52.12,3692,5.32,0.8,6893,5.65,2.97,1788.75,86,0.05,4.69,1.47,2,0,4,1,124.4,1.73,1,2.4,3,6,5,15,519,14.57,544.3,1.05,2,3,5,5,39.6,0.48,101.88,2,0,4,1,1.86
SiTe2,841.6666667,2.08,39.33333333,1.19,94.43,1718.016667,3.003333333,1.27,3272.333333,4.936666667,5.023333333,1042.816667,86,0.06,23.66,2.01,3.333333333,14,2.666666667,0,109.6666667,2.033333333,4.333333333,1.586666667,3.333333333,6,5.333333333,15.33333333,282,28.51,163.1066667,1.3,1,2.666666667,5.333333333,2.666666667,5.466666667,0.37,50.9,6.666666667,0,3.333333333,2,2525,6.24,118,3.57,283.29,5154.05,9.01,3.81,9817,14.81,15.07,3128.45,258,0.18,70.98,6.03,10,42,8,0,329,6.1,13,4.76,10,18,16,46,846,85.53,489.32,3.9,3,8,16,8,16.4,1.11,152.7,20,0,10,6,82,0.24,38,0.12,99.51,1365.2,2.44,0.24,2830,3.91,1.25,960.5,12,0.03,5.58,0.21,10,0,2,0,4.3,0.2,2,0.25,2,0,2,2,255,33.06,331.67,0.3,0,2,2,2,0.1,0.51,145.65,10,0,2,0,2.015
CsHgInS3,823.5,1.975,38.66666667,1.481666667,90.755,1013.166667,2.09,1.373333333,2390.833333,4.815,5.742816667,353.9,69.16666667,0.052883333,25.750335,1.886666667,6.666666667,11.66666667,3.833333333,0.166666667,124.2666667,2.051666667,4.333333333,2.011666667,2.333333333,5.166666667,3.833333333,12.33333333,203.3333333,2.134166667,64.64483333,1.441666667,1,2.48,5.666666667,3.833333333,13.9,0.4565,21.10833333,3.333333333,2.333333333,2.166666667,1.833333333,4941,11.85,232,8.89,544.53,6079,12.54,8.24,14345,28.89,34.4569,2123.4,415,0.3173,154.50201,11.32,40,70,23,1,745.6,12.31,26,12.07,14,31,23,74,1220,12.805,387.869,8.65,6,14.88,34,23,83.4,2.739,126.65,20,14,13,11,631,1.93,64,2.1,168.52,1723,2.18,1.23,5416,11.63,4.0169,195.5,83,0.0573,9.13,1.7,10,14,4,1,170.8,1.79,3,3.21,4,6,5,15,218,1.54,221.7,1.6,2,3.44,11,5,56.7,0.571,81.33,10,14,4,1,2.3
